,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,07:30:52.641,  449.76,  390.17,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,  386.98,  330.90,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,  836.74,  721.07,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1557.81, 1500.97, 2689.50,    0.00,    0.00, 1268.28, 2610.19,    0.00,    0.00,,,,, 1291.90, 2619.29,    0.00,    0.00, 1209.32, 2585.19,    0.00,    0.00,,,,, 5270.46,10504.17,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,15774.63,   6107.21,  11225.24,      0.00,      0.00,   6107.21,  11225.24,  17332.44
2023-02-23,07:30:52.742,  397.90,  343.42,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  350.87,  300.21,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  748.77,  643.63,    0.00,    0.00,    1.01,    1.01,    0.00,    0.00, 1392.40, 1387.03, 2513.76,    0.00,    0.00, 1184.75, 2441.85,    0.00,    0.00,,,,, 1207.71, 2450.48,    0.00,    0.00, 1136.89, 2421.82,    0.00,    0.00,,,,, 4916.38, 9827.91,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,14744.29,   5665.15,  10471.54,      0.00,      0.00,   5665.15,  10471.54,  16136.69
2023-02-23,07:30:52.842,  401.22,  357.64,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  352.48,  311.92,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,  753.70,  669.57,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1423.27, 1292.76, 2394.59,    0.00,    0.00, 1071.65, 2327.85,    0.00,    0.00,,,,, 1092.55, 2331.86,    0.00,    0.00, 1013.94, 2304.65,    0.00,    0.00,,,,, 4470.89, 9358.96,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,13829.85,   5224.60,  10028.52,      0.00,      0.00,   5224.60,  10028.52,  15253.12
2023-02-23,07:30:52.943,  399.87,  346.98,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,  349.83,  300.96,    0.00,    0.00,,,,,    0.00,    0.00,    0.00,    0.00,  749.70,  647.94,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1397.64, 1386.98, 2539.71,    0.00,    0.00, 1180.00, 2462.92,    0.00,    0.00,,,,, 1198.97, 2468.39,    0.00,    0.00, 1127.76, 2440.16,    0.00,    0.00,,,,, 4893.72, 9911.17,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,14804.89,   5643.42,  10559.11,      0.00,      0.00,   5643.42,  10559.11,  16202.53
2023-02-23,07:30:53.043,  394.18,  354.35,    0.00,    0.00,,,,,,,,,  343.82,  308.09,    0.00,    0.00,,,,,,,,,  738.00,  662.44,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1400.43, 1359.87, 2507.93,    0.00,    0.00, 1138.76, 2439.49,    0.00,    0.00,,,,, 1159.09, 2442.99,    0.00,    0.00, 1083.65, 2415.78,    0.00,    0.00,,,,, 4741.37, 9806.19,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,14547.56,   5479.36,  10468.63,      0.00,      0.00,   5479.36,  10468.63,  15947.99
2023-02-23,07:30:53.143,  432.44,  387.45,    0.00,    0.00,,,,,,,,,  380.68,  340.58,    0.00,    0.00,,,,,,,,,  813.12,  728.04,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1541.15, 1530.87, 2807.56,    0.00,    0.00, 1298.57, 2726.62,    0.00,    0.00,,,,, 1327.55, 2739.15,    0.00,    0.00, 1242.98, 2703.38,    0.00,    0.00,,,,, 5399.98,10976.71,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,16376.68,   6213.09,  11704.74,      0.00,      0.00,   6213.09,  11704.74,  17917.84
2023-02-23,07:30:53.244,  422.52,  369.97,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  372.66,  324.16,    0.00,    0.00,,,,,,,,,  795.18,  694.13,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1489.31, 1501.67, 2734.09,    0.00,    0.00, 1274.28, 2648.83,    0.00,    0.00,,,,, 1299.82, 2658.98,    0.00,    0.00, 1219.39, 2623.12,    0.00,    0.00,,,,, 5295.16,10665.02,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,15960.18,   6090.34,  11359.15,      0.00,      0.00,   6090.34,  11359.15,  17449.49
2023-02-23,07:30:53.343,  388.98,  328.89,    0.00,    0.00,,,,,,,,,  338.21,  282.57,    0.00,    0.00,,,,,,,,,  727.19,  611.46,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1338.65, 1484.97, 2548.63,    0.00,    0.00, 1307.06, 2474.54,    0.00,    0.00,,,,, 1322.22, 2477.62,    0.00,    0.00, 1261.35, 2452.32,    0.00,    0.00,,,,, 5375.60, 9953.11,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,15328.71,   6102.79,  10564.57,      0.00,      0.00,   6102.79,  10564.57,  16667.36
2023-02-23,07:30:53.443,  252.42,  198.86,    0.00,    0.00,,,,,,,,,  213.56,  164.41,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  465.99,  363.28,    0.00,    0.00,    1.01,    1.00,    0.00,    0.00,  829.27, 1334.41, 2090.62,    0.00,    0.00, 1227.93, 2047.66,    0.00,    0.00,,,,, 1227.22, 2041.34,    0.00,    0.00, 1201.94, 2032.00,    0.00,    0.00,,,,, 4991.50, 8211.62,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,13203.12,   5457.49,   8574.90,      0.00,      0.00,   5457.49,   8574.90,  14032.39
2023-02-23,07:30:53.544,   95.33,   55.79,    0.00,    0.00,,,,,,,,,   83.85,   45.49,    0.00,    0.00,,,,,,,,,  179.18,  101.28,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  280.46, 1269.37, 1835.17,    0.00,    0.00, 1195.40, 1808.01,    0.00,    0.00,,,,, 1191.15, 1799.37,    0.00,    0.00, 1177.36, 1797.47,    0.00,    0.00,,,,, 4833.29, 7240.03,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,12073.32,   5012.47,   7341.31,      0.00,      0.00,   5012.47,   7341.31,  12353.78
