,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:13:26.884,  359.11,  313.23,    0.00,    0.00,,,,,,,,,  325.43,  309.37,    0.00,    0.00,,,,,,,,,  684.54,  622.60,    0.00,    0.00,    0.96,    0.98,    0.00,    0.00, 1307.14,   79.46,  102.94,    0.00,    0.00,   94.16,  122.12,    0.00,    0.00,,,,,   61.04,   88.28,    0.00,    0.00,   63.81,   92.74,    0.00,    0.00,,,,,  298.47,  406.07,    0.00,    0.00,    0.90,    0.89,    0.00,    0.00,  704.54,    983.01,   1028.67,      0.00,      0.00,    983.01,   1028.67,   2011.68
2023-02-23,12:13:26.894,    8.11,   10.83,    0.00,    0.00,,,,,,,,,    5.38,    8.41,    0.00,    0.00,,,,,,,,,   13.48,   19.24,    0.00,    0.00,    0.95,    0.92,    0.00,    0.00,   32.72,    7.55,    7.64,    0.00,    0.00,    5.70,    5.99,    0.00,    0.00,,,,,    5.62,    5.81,    0.00,    0.00,    4.67,    5.27,    0.00,    0.00,,,,,   23.54,   24.70,    0.00,    0.00,    0.86,    0.88,    0.00,    0.00,   48.24,     37.02,     43.94,      0.00,      0.00,     37.02,     43.94,     80.97
2023-02-23,12:13:26.904,    9.31,    8.69,    0.00,    0.00,,,,,,,,,    6.25,    5.50,    0.00,    0.00,,,,,,,,,   15.56,   14.19,    0.00,    0.00,    0.96,    0.93,    0.00,    0.00,   29.75,    7.55,    6.61,    0.00,    0.00,    5.86,    4.88,    0.00,    0.00,,,,,    4.94,    4.11,    0.00,    0.00,    4.83,    3.83,    0.00,    0.00,,,,,   23.18,   19.42,    0.00,    0.00,    0.94,    0.89,    0.00,    0.00,   42.60,     38.74,     33.61,      0.00,      0.00,     38.74,     33.61,     72.35
2023-02-23,12:13:26.914,   28.16,   18.68,    0.00,    0.00,,,,,,,,,   23.18,   15.12,    0.00,    0.00,,,,,,,,,   51.34,   33.79,    0.00,    0.00,    0.99,    0.97,    0.00,    0.00,   85.13,   17.02,   13.89,    0.00,    0.00,   15.19,   11.88,    0.00,    0.00,,,,,   12.45,    9.63,    0.00,    0.00,   12.32,    8.72,    0.00,    0.00,,,,,   56.99,   44.12,    0.00,    0.00,    0.86,    0.86,    0.00,    0.00,  101.11,    108.33,     77.91,      0.00,      0.00,    108.33,     77.91,    186.24
2023-02-23,12:13:26.924,   14.02,   14.43,    0.00,    0.00,,,,,,,,,    7.63,    8.19,    0.00,    0.00,,,,,,,,,   21.65,   22.61,    0.00,    0.00,    0.83,    0.88,    0.00,    0.00,   44.26,    8.85,   12.15,    0.00,    0.00,    5.93,    9.77,    0.00,    0.00,,,,,    5.38,    9.00,    0.00,    0.00,    4.72,    8.63,    0.00,    0.00,,,,,   24.89,   39.55,    0.00,    0.00,    0.91,    0.87,    0.00,    0.00,   64.44,     46.54,     62.16,      0.00,      0.00,     46.54,     62.16,    108.70
2023-02-23,12:13:26.934,   32.98,   22.27,    0.00,    0.00,,,,,,,,,   26.00,   16.40,    0.00,    0.00,,,,,,,,,   58.98,   38.67,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,   97.65,   11.94,   11.00,    0.00,    0.00,    9.24,    8.49,    0.00,    0.00,,,,,    7.78,    7.48,    0.00,    0.00,    6.15,    5.80,    0.00,    0.00,,,,,   35.10,   32.77,    0.00,    0.00,    0.92,    0.94,    0.00,    0.00,   67.88,     94.09,     71.44,      0.00,      0.00,     94.09,     71.44,    165.53
2023-02-23,12:13:26.944,   18.39,   16.26,    0.00,    0.00,,,,,,,,,   14.50,   12.71,    0.00,    0.00,,,,,,,,,   32.89,   28.97,    0.00,    0.00,    0.94,    0.97,    0.00,    0.00,   61.86,   20.29,   13.85,    0.00,    0.00,   18.85,   12.33,    0.00,    0.00,,,,,   16.99,   11.62,    0.00,    0.00,   17.09,   11.99,    0.00,    0.00,,,,,   73.22,   49.79,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  123.01,    106.11,     78.75,      0.00,      0.00,    106.11,     78.75,    184.86
2023-02-23,12:13:26.954,   31.32,   34.68,    0.00,    0.00,,,,,,,,,   23.22,   30.59,    0.00,    0.00,,,,,,,,,   54.53,   65.27,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  119.80,   27.85,   18.46,    0.00,    0.00,   23.80,   14.91,    0.00,    0.00,,,,,   21.48,   13.38,    0.00,    0.00,   21.13,   13.80,    0.00,    0.00,,,,,   94.26,   60.55,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  154.81,    148.79,    125.82,      0.00,      0.00,    148.79,    125.82,    274.61
2023-02-23,12:13:26.964,   44.34,   45.72,    0.00,    0.00,,,,,,,,,   39.20,   43.21,    0.00,    0.00,,,,,,,,,   83.54,   88.93,    0.00,    0.00,    0.96,    0.96,    0.00,    0.00,  172.47,   22.12,   10.12,    0.00,    0.00,   20.70,    8.67,    0.00,    0.00,,,,,   18.55,    7.85,    0.00,    0.00,   18.10,    7.28,    0.00,    0.00,,,,,   79.48,   33.92,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  113.40,    163.01,    122.85,      0.00,      0.00,    163.01,    122.85,    285.87
2023-02-23,12:13:26.973,    3.18,    3.31,    0.00,    0.00,,,,,,,,,    1.80,    2.12,    0.00,    0.00,,,,,,,,,    4.99,    5.43,    0.00,    0.00,    0.87,    0.77,    0.00,    0.00,   10.41,    2.95,    3.30,    0.00,    0.00,    2.32,    2.29,    0.00,    0.00,,,,,    2.00,    2.09,    0.00,    0.00,    1.87,    2.03,    0.00,    0.00,,,,,    9.14,    9.70,    0.00,    0.00,    0.93,    0.89,    0.00,    0.00,   18.84,     14.12,     15.13,      0.00,      0.00,     14.12,     15.13,     29.25
2023-02-23,12:13:26.984,   59.76,   32.21,    0.00,    0.00,,,,,,,,,   53.14,   27.28,    0.00,    0.00,,,,,,,,,  112.90,   59.49,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  172.39,   21.41,   21.18,    0.00,    0.00,   18.87,   18.62,    0.00,    0.00,,,,,   16.09,   16.65,    0.00,    0.00,   16.29,   16.16,    0.00,    0.00,,,,,   72.66,   72.61,    0.00,    0.00,    0.94,    0.97,    0.00,    0.00,  145.27,    185.56,    132.11,      0.00,      0.00,    185.56,    132.11,    317.66
2023-02-23,12:13:26.994,   55.10,   43.59,    0.00,    0.00,,,,,,,,,   48.51,   39.34,    0.00,    0.00,,,,,,,,,  103.61,   82.93,    0.00,    0.00,    0.96,    0.98,    0.00,    0.00,  186.54,   23.43,   14.24,    0.00,    0.00,   20.95,   11.54,    0.00,    0.00,,,,,   18.53,   10.48,    0.00,    0.00,   18.29,    9.76,    0.00,    0.00,,,,,   81.20,   46.02,    0.00,    0.00,    0.90,    0.89,    0.00,    0.00,  127.21,    184.81,    128.95,      0.00,      0.00,    184.81,    128.95,    313.75
2023-02-23,12:13:27.004,    4.47,    4.60,    0.00,    0.00,,,,,,,,,    1.96,    2.09,    0.00,    0.00,,,,,,,,,    6.43,    6.69,    0.00,    0.00,    0.91,    0.79,    0.00,    0.00,   13.11,    4.66,    5.25,    0.00,    0.00,    2.85,    3.08,    0.00,    0.00,,,,,    2.00,    2.10,    0.00,    0.00,    1.92,    2.03,    0.00,    0.00,,,,,   11.42,   12.45,    0.00,    0.00,    0.85,    0.82,    0.00,    0.00,   23.88,     17.85,     19.14,      0.00,      0.00,     17.85,     19.14,     36.99
2023-02-23,12:13:27.014,   28.81,    8.66,    0.00,    0.00,,,,,,,,,   21.78,    4.88,    0.00,    0.00,,,,,,,,,   50.59,   13.54,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,   64.13,   13.21,   13.43,    0.00,    0.00,   11.76,   11.90,    0.00,    0.00,,,,,   10.46,   11.00,    0.00,    0.00,   10.29,   10.83,    0.00,    0.00,,,,,   45.72,   47.17,    0.00,    0.00,    0.93,    0.96,    0.00,    0.00,   92.89,     96.31,     60.70,      0.00,      0.00,     96.31,     60.70,    157.02
2023-02-23,12:13:27.023,   21.11,   12.72,    0.00,    0.00,,,,,,,,,   19.18,   11.65,    0.00,    0.00,,,,,,,,,   40.29,   24.37,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   64.66,    2.82,    2.97,    0.00,    0.00,    2.52,    2.48,    0.00,    0.00,,,,,    2.09,    2.16,    0.00,    0.00,    2.09,    2.07,    0.00,    0.00,,,,,    9.51,    9.68,    0.00,    0.00,    0.93,    0.89,    0.00,    0.00,   19.19,     49.80,     34.05,      0.00,      0.00,     49.80,     34.05,     83.85
