,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:14:59.939,   22.84,   15.37,    0.00,    0.00,,,,,,,,,   19.48,   12.14,    0.00,    0.00,,,,,,,,,   42.31,   27.51,    0.00,    0.00,    0.96,    0.96,    0.00,    0.00,   69.82,    8.88,   13.46,    0.00,    0.00,    7.46,   12.17,    0.00,    0.00,,,,,    7.15,   12.38,    0.00,    0.00,    6.82,   11.65,    0.00,    0.00,,,,,   30.30,   49.66,    0.00,    0.00,    0.91,    0.94,    0.00,    0.00,   79.96,     72.61,     77.16,      0.00,      0.00,     72.61,     77.16,    149.78
2023-02-23,12:14:59.949,   19.62,   13.18,    0.00,    0.00,,,,,,,,,   17.54,   10.95,    0.00,    0.00,,,,,,,,,   37.15,   24.13,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,   61.29,   15.87,   16.00,    0.00,    0.00,   14.26,   14.06,    0.00,    0.00,,,,,   12.84,   12.89,    0.00,    0.00,   12.53,   12.47,    0.00,    0.00,,,,,   55.49,   55.42,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  110.91,     92.65,     79.55,      0.00,      0.00,     92.65,     79.55,    172.20
2023-02-23,12:14:59.958,    9.09,    5.85,    0.00,    0.00,,,,,,,,,    6.91,    3.63,    0.00,    0.00,,,,,,,,,   16.01,    9.48,    0.00,    0.00,    0.84,    0.91,    0.00,    0.00,   25.48,    3.53,    4.75,    0.00,    0.00,    3.04,    4.01,    0.00,    0.00,,,,,    3.30,    3.72,    0.00,    0.00,    3.01,    4.04,    0.00,    0.00,,,,,   12.88,   16.53,    0.00,    0.00,    0.94,    0.94,    0.00,    0.00,   29.41,     28.88,     26.01,      0.00,      0.00,     28.88,     26.01,     54.89
2023-02-23,12:14:59.969,    4.99,    4.83,    0.00,    0.00,,,,,,,,,    2.23,    2.03,    0.00,    0.00,,,,,,,,,    7.21,    6.86,    0.00,    0.00,    0.91,    0.81,    0.00,    0.00,   14.07,    6.62,    7.49,    0.00,    0.00,    5.08,    6.15,    0.00,    0.00,,,,,    3.53,    4.93,    0.00,    0.00,    3.14,    4.24,    0.00,    0.00,,,,,   18.36,   22.82,    0.00,    0.00,    0.97,    0.94,    0.00,    0.00,   41.18,     25.57,     29.68,      0.00,      0.00,     25.57,     29.68,     55.25
2023-02-23,12:14:59.978,    6.33,    6.18,    0.00,    0.00,,,,,,,,,    3.30,    3.36,    0.00,    0.00,,,,,,,,,    9.63,    9.54,    0.00,    0.00,    0.30,    0.38,    0.00,    0.00,   19.17,    2.05,    2.76,    0.00,    0.00,    1.29,    1.89,    0.00,    0.00,,,,,    1.29,    1.40,    0.00,    0.00,    1.45,    1.50,    0.00,    0.00,,,,,    6.09,    7.55,    0.00,    0.00,    0.89,    0.74,    0.00,    0.00,   13.64,     15.72,     17.09,      0.00,      0.00,     15.72,     17.09,     32.81
2023-02-23,12:14:59.989,    6.16,    5.88,    0.00,    0.00,,,,,,,,,    2.75,    2.33,    0.00,    0.00,,,,,,,,,    8.91,    8.21,    0.00,    0.00,    0.93,    0.84,    0.00,    0.00,   17.12,    6.07,    5.38,    0.00,    0.00,    4.29,    3.86,    0.00,    0.00,,,,,    3.53,    3.22,    0.00,    0.00,    3.16,    2.72,    0.00,    0.00,,,,,   17.06,   15.17,    0.00,    0.00,    0.73,    0.77,    0.00,    0.00,   32.24,     25.97,     23.39,      0.00,      0.00,     25.97,     23.39,     49.36
2023-02-23,12:14:59.999,    3.04,    3.07,    0.00,    0.00,,,,,,,,,    1.62,    1.60,    0.00,    0.00,,,,,,,,,    4.66,    4.67,    0.00,    0.00,    0.87,    0.74,    0.00,    0.00,    9.32,    2.92,    3.08,    0.00,    0.00,    1.88,    2.02,    0.00,    0.00,,,,,    1.42,    1.46,    0.00,    0.00,    1.42,    1.40,    0.00,    0.00,,,,,    7.64,    7.97,    0.00,    0.00,    0.92,    0.87,    0.00,    0.00,   15.60,     12.29,     12.63,      0.00,      0.00,     12.29,     12.63,     24.93
2023-02-23,12:15:00.008,   19.09,   10.48,    0.00,    0.00,,,,,,,,,   15.37,    7.51,    0.00,    0.00,,,,,,,,,   34.46,   18.00,    0.00,    0.00,    0.98,    0.96,    0.00,    0.00,   52.46,   10.75,   16.19,    0.00,    0.00,    9.16,   14.62,    0.00,    0.00,,,,,    7.98,   12.91,    0.00,    0.00,    7.85,   13.47,    0.00,    0.00,,,,,   35.74,   57.18,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,   92.93,     70.21,     75.18,      0.00,      0.00,     70.21,     75.18,    145.39
2023-02-23,12:15:00.019,   72.29,   49.24,    0.00,    0.00,,,,,,,,,   65.64,   43.81,    0.00,    0.00,,,,,,,,,  137.93,   93.04,    0.00,    0.00,    0.83,    0.84,    0.00,    0.00,  230.98,   13.18,   15.92,    0.00,    0.00,   11.50,   14.43,    0.00,    0.00,,,,,   10.08,   12.93,    0.00,    0.00,    9.71,   12.68,    0.00,    0.00,,,,,   44.47,   55.97,    0.00,    0.00,    0.95,    0.96,    0.00,    0.00,  100.44,    182.41,    149.01,      0.00,      0.00,    182.41,    149.01,    331.42
2023-02-23,12:15:00.029,    3.55,    3.24,    0.00,    0.00,,,,,,,,,    2.25,    2.07,    0.00,    0.00,,,,,,,,,    5.80,    5.31,    0.00,    0.00,    0.75,    0.67,    0.00,    0.00,   11.10,    3.74,    3.78,    0.00,    0.00,    2.30,    2.48,    0.00,    0.00,,,,,    1.84,    1.88,    0.00,    0.00,    1.50,    1.53,    0.00,    0.00,,,,,    9.38,    9.67,    0.00,    0.00,    0.93,    0.89,    0.00,    0.00,   19.05,     15.18,     14.98,      0.00,      0.00,     15.18,     14.98,     30.16
